system:index,KLC_ID,PA,Year,bare-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,urban-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,.geo
40,SAF_05,false,2015.0,411.38631764964794,1492.9724835915251,10485.516775296679,0.0,1384.5470454192093,0.0,792.1645337446939,97.88411488207068,80.13892972512475,17.10411151948607,
41,SAF_05,false,2016.0,560.98714571359,1706.0502098720112,9993.839430482501,0.0,1490.1152506125927,0.0,814.2454955578243,98.5945945201203,80.77807355030444,13.445204872103762,
42,SAF_05,false,2017.0,611.7345992691311,1874.2348984476475,9639.009379038893,0.0,1585.0149161532224,0.0,852.1266319868237,99.32316519207777,83.16661022113135,15.408767490955833,
43,SAF_05,false,2018.0,563.1925533312568,1855.9240519285045,9488.31300205928,0.0,1698.0859958131728,0.0,955.6556362522783,99.84597296977736,83.5929879546529,15.801884824434591,
44,SAF_05,false,2019.0,586.3461699702966,2183.688264615721,8901.697838530472,0.0,1853.3206745589982,0.0,1039.4123223722258,99.79809961185762,80.34683064936989,17.22009146817419,
45,SAF_05,true,2015.0,247.0177444708918,346.9244278978206,5485.807029799604,0.0,743.49716099394,0.0,282.9810000709586,4.834029930699692,61.917937193976435,3.4855012073155893,
46,SAF_05,true,2016.0,328.5743353439971,462.0672904503905,5212.159663720938,0.0,800.8800012997303,0.0,303.33309544378244,4.95693007887312,61.008014020191645,3.1908682741959495,
47,SAF_05,true,2017.0,352.89566231000015,539.7947793199932,5041.380202844655,0.0,856.8359338822447,0.0,315.4790404303022,5.189699183233559,61.40401238746368,3.7749022147190523,
48,SAF_05,true,2018.0,339.30433219724824,507.4028877100887,4990.783057161932,0.0,915.9526616549019,0.0,351.3007590969396,5.609418745767398,62.62621379101275,2.638887985557769,
49,SAF_05,true,2019.0,355.81350574515415,636.405857114864,4694.198104501425,0.0,1018.4937152745958,0.0,400.59954043606126,5.633944124726642,61.83466316105564,2.929280567642583,
50,WAF_18,false,2015.0,3497.82120849306,2694.775472725102,28315.287337807677,0.4075875637936406,4202.63793374922,0.0,2234.9456677029298,137.3762788733836,1707.6671193753584,3147.3056699119647,
51,WAF_18,false,2016.0,3412.266100331422,3239.5905037807647,28141.89985583726,1.8981423424993409,4236.343296048482,0.0,2154.3426856162378,133.14380248590962,1474.2423296635905,2932.442276301554,
52,WAF_18,false,2017.0,3157.9077383552076,3829.8039439383992,27625.96083120881,2.228075039020041,4340.441356359146,0.0,2174.7619042036577,135.25048267633727,1528.22157390287,2880.962196710048,
53,WAF_18,false,2018.0,3352.2151074150715,3842.09820339427,27304.925031735136,2.1479100985307014,4329.725342773772,0.0,2241.69431370104,137.03447018051597,1582.8975795627637,2931.4419852717556,
54,WAF_18,false,2019.0,4008.9759986472004,8783.82344472662,21818.69415788124,2.003196953846782,4588.780468375904,0.0,1806.9025972007062,136.67718825045017,1646.5819309710284,3094.372338066786,
55,WAF_18,true,2015.0,82.386643765834,699.131290723305,6244.940318872067,0.0,689.7721772690849,0.0,427.6160734858088,51.913515059748946,500.2798169272797,692.5327899336414,
56,WAF_18,true,2016.0,89.60436437245932,860.3306777531662,6122.09391880616,0.0,683.4791922141076,0.0,425.6956921983673,50.33579188859752,464.5001988702813,798.2643756085091,
57,WAF_18,true,2017.0,82.01494078141761,1020.8589847461046,5947.885864662872,0.0,682.2013729472819,0.0,445.3615133084303,50.3041815449879,467.41297811204157,851.2726923469479,
58,WAF_18,true,2018.0,76.78080828293757,1001.2759143313766,5993.939751245291,0.0,656.1781176460347,0.0,442.0487799674527,49.86775647031074,475.9487081597343,857.3700911656827,
59,WAF_18,true,2019.0,214.65907529793816,1956.6159765494215,4939.672720790021,0.0,763.8553934418076,0.0,365.6816857582038,49.56789578158997,405.98708848415123,790.2487283319548,
60,SAF_20,false,2015.0,7470.122289478143,7898.108735322355,41968.971073650864,1.8981173867158598,13594.771162279154,0.0,4546.099320486059,1146.99098555902,327.38039209265276,252.13559036485404,
