area_km2,klc_id,klc_name,year,pa,area_loss
3021.3708964548196,SAF_08,Chimanimani,2007,outside,0.0885588248243181
3021.3708964548196,SAF_08,Chimanimani,2008,total,7.078788769210524
3021.3708964548196,SAF_08,Chimanimani,2008,inside,6.705680017844534
3021.3708964548196,SAF_08,Chimanimani,2008,outside,0.3731087513659901
3021.3708964548196,SAF_08,Chimanimani,2009,total,9.644676239112279
3021.3708964548196,SAF_08,Chimanimani,2009,inside,9.47617311542274
3021.3708964548196,SAF_08,Chimanimani,2009,outside,0.16850312368953801
3021.3708964548196,SAF_08,Chimanimani,2010,total,3.663797681365608
3021.3708964548196,SAF_08,Chimanimani,2010,inside,3.5674343656458247
3021.3708964548196,SAF_08,Chimanimani,2010,outside,0.0963633157197834
3021.3708964548196,SAF_08,Chimanimani,2011,total,22.21351098325618
3021.3708964548196,SAF_08,Chimanimani,2011,inside,21.58156726544686
3021.3708964548196,SAF_08,Chimanimani,2011,outside,0.631943717809321
3021.3708964548196,SAF_08,Chimanimani,2012,total,11.230016786314955
3021.3708964548196,SAF_08,Chimanimani,2012,inside,11.105380157963044
3021.3708964548196,SAF_08,Chimanimani,2012,outside,0.12463662835191158
3021.3708964548196,SAF_08,Chimanimani,2013,total,26.947812878167706
3021.3708964548196,SAF_08,Chimanimani,2013,inside,26.46485288911813
3021.3708964548196,SAF_08,Chimanimani,2013,outside,0.4829599890495757
3021.3708964548196,SAF_08,Chimanimani,2014,total,35.064365371125
3021.3708964548196,SAF_08,Chimanimani,2014,inside,34.20458734704988
3021.3708964548196,SAF_08,Chimanimani,2014,outside,0.8597780240751192
3021.3708964548196,SAF_08,Chimanimani,2015,total,25.537910696169064
3021.3708964548196,SAF_08,Chimanimani,2015,inside,24.842018116852074
3021.3708964548196,SAF_08,Chimanimani,2015,outside,0.6958925793169897
3021.3708964548196,SAF_08,Chimanimani,2016,total,44.12312259946745
3021.3708964548196,SAF_08,Chimanimani,2016,inside,43.4795744518167
3021.3708964548196,SAF_08,Chimanimani,2016,outside,0.6435481476507476
3021.3708964548196,SAF_08,Chimanimani,2017,total,94.9485366677929
3021.3708964548196,SAF_08,Chimanimani,2017,inside,92.75541310452593
